sent_text,variable,label_issue,label_text,party,before,after
"De kiezers die NRC sprak , zien dat er ruimte is voor iets nieuws , in deze eerste verkiezing na dertien jaar premierschap van Mark Rutte ( VVD ) .",issue position,Nee,issue_no,VVD,"Het gebrek aan betaalbare huur- en koopwoningen wordt daarbij als grootste zorg genoemd , gekoppeld aan migratie , aan de gevoelde voorrang die bepaalde groepen , onder wie statushouders en Oekraïense vluchtelingen , krijgen bij de toewijzing van huisvesting .",En tegelijkertijd hebben weinigen het vertrouwen dat ‘Den Haag’ het vermogen heeft om met uitvoerbare oplossingen te komen .
"De kiezers die NRC sprak , zien dat er ruimte is voor iets nieuws , in deze eerste verkiezing na dertien jaar premierschap van Mark Rutte ( VVD ) .",conflict,Nee,issue_no,VVD,"Het gebrek aan betaalbare huur- en koopwoningen wordt daarbij als grootste zorg genoemd , gekoppeld aan migratie , aan de gevoelde voorrang die bepaalde groepen , onder wie statushouders en Oekraïense vluchtelingen , krijgen bij de toewijzing van huisvesting .",En tegelijkertijd hebben weinigen het vertrouwen dat ‘Den Haag’ het vermogen heeft om met uitvoerbare oplossingen te komen .
"De kiezers die NRC sprak , zien dat er ruimte is voor iets nieuws , in deze eerste verkiezing na dertien jaar premierschap van Mark Rutte ( VVD ) .",succes en falen,Nee,issue_no,VVD,"Het gebrek aan betaalbare huur- en koopwoningen wordt daarbij als grootste zorg genoemd , gekoppeld aan migratie , aan de gevoelde voorrang die bepaalde groepen , onder wie statushouders en Oekraïense vluchtelingen , krijgen bij de toewijzing van huisvesting .",En tegelijkertijd hebben weinigen het vertrouwen dat ‘Den Haag’ het vermogen heeft om met uitvoerbare oplossingen te komen .
"Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes , de toenmalige VVD-minister van Klimaat , dat het afkoppelen gratis moest worden :",issue position,Ja,issue_yes,Overig,Tot 2021 betaalde iemand die van het gas af wilde 700 euro .,verduurzamen was immers al duur genoeg .
"Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes , de toenmalige VVD-minister van Klimaat , dat het afkoppelen gratis moest worden :",conflict,Nee,issue_no,Overig,Tot 2021 betaalde iemand die van het gas af wilde 700 euro .,verduurzamen was immers al duur genoeg .
"Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes , de toenmalige VVD-minister van Klimaat , dat het afkoppelen gratis moest worden :",succes en falen,Nee,issue_no,Overig,Tot 2021 betaalde iemand die van het gas af wilde 700 euro .,verduurzamen was immers al duur genoeg .
Pieter Omtzigt wil aan dit consumptiefeest een einde maken .,issue position,Ja,issue_yes,NSC,"Door onze praktische , nuchtere aard en handelsgeest maken we van ons land het lelijkste land ter wereld .",Hij wil de hoeveelheid arbeidsmigranten die in Nederland worden toegelaten beperken tot vijftigduizend .
Pieter Omtzigt wil aan dit consumptiefeest een einde maken .,succes en falen,Nee,issue_no,NSC,"Door onze praktische , nuchtere aard en handelsgeest maken we van ons land het lelijkste land ter wereld .",Hij wil de hoeveelheid arbeidsmigranten die in Nederland worden toegelaten beperken tot vijftigduizend .
Pieter Omtzigt wil aan dit consumptiefeest een einde maken .,conflict,Nee,issue_no,NSC,"Door onze praktische , nuchtere aard en handelsgeest maken we van ons land het lelijkste land ter wereld .",Hij wil de hoeveelheid arbeidsmigranten die in Nederland worden toegelaten beperken tot vijftigduizend .
"Om deze reden merkte Frans Timmermans tijdens zijn Abel Herzberglezing in september op dat Nederland behoefte heeft aan kathedralenbouwers , die het geduld en de moed hebben om Nederland toekomstbestendig te maken .",issue position,Ja,issue_yes,GL/PvdA,"Als ons klimaatbeleid nu stagneert , dan gaan we onze klimaatdoelen nooit meer halen .","Dat betekent vooral : welvaart beter verdelen , rechtsstaat bestendigen , klimaatcrisis aanpakken ."
"Om deze reden merkte Frans Timmermans tijdens zijn Abel Herzberglezing in september op dat Nederland behoefte heeft aan kathedralenbouwers , die het geduld en de moed hebben om Nederland toekomstbestendig te maken .",conflict,Nee,issue_no,GL/PvdA,"Als ons klimaatbeleid nu stagneert , dan gaan we onze klimaatdoelen nooit meer halen .","Dat betekent vooral : welvaart beter verdelen , rechtsstaat bestendigen , klimaatcrisis aanpakken ."
"Om deze reden merkte Frans Timmermans tijdens zijn Abel Herzberglezing in september op dat Nederland behoefte heeft aan kathedralenbouwers , die het geduld en de moed hebben om Nederland toekomstbestendig te maken .",succes en falen,Nee,issue_no,GL/PvdA,"Als ons klimaatbeleid nu stagneert , dan gaan we onze klimaatdoelen nooit meer halen .","Dat betekent vooral : welvaart beter verdelen , rechtsstaat bestendigen , klimaatcrisis aanpakken ."
